מילה	יחידה	מקור ההוכחה	רפרנס	הערה
כלאחר יד	1	ספריא · נחלת הכלל	Zohar Chadash, Tikuna Kadma'ah 75 (Zohar Chadash [he])
אין תוכו כברו	1	ספריא · נחלת הכלל	Malbim Beur Hamilot on Isaiah 10:6:2 (On Your Way [he])
נמנה עם	1	ויקינתונים (CC0)	L214705
עולה בקנה אחד עם	1	⚠ דרוש מקור	Lechem Shamayim on Mishnah Mikvaot 2:9:1 (Jerusalem, 1978 [he])	⚠ ההוכחה הוסרה · ספריא נחלת-הכלל · מהדורה 1978 · אומת חי מול ספריא: אין בספריא אף מהדורה עברית בנחלת הכלל שאינה מ-1929 ואילך · הגרסאות שנמצאו: Jerusalem, 1978 · הטענה הקודמת: ספריא · נחלת הכלל / Lechem Shamayim on Mishnah Mikvaot 2:9:1 (Jerusalem, 1978 [he])
חס	1	ויקינתונים (CC0)	L211046
טבע	1	ויקינתונים (CC0)	L211263
אגד	1	ויקינתונים (CC0)	L204348
נא	1	ויקינתונים (CC0)	L492185
לא בכדי	1	⚠ דרוש מקור	Darkhei Moshe (Amiel), Derekh HaKodesh, Shmatta 11 9:3 (Darkhei Moshe, Jerusalem 1998-2000 [he])	⚠ ההוכחה הוסרה · ספריא נחלת-הכלל · מהדורה 2000 · אומת חי מול ספריא: אין בספריא אף מהדורה עברית בנחלת הכלל שאינה מ-1929 ואילך · הגרסאות שנמצאו: Darkhei Moshe, Jerusalem 1998-2000 · הטענה הקודמת: ספריא · נחלת הכלל / Darkhei Moshe (Amiel), Derekh HaKodesh, Shmatta 11 9:3 (Darkhei Moshe, Jerusalem 1998-2000 [he])
קורת רוח	1	ספריא · נחלת הכלל	Kessef Mishneh on Mishneh Torah, Slaves 6:4:2 (Torat Emet 363 [he])
בפומבי / בפומבי	1	ספריא · נחלת הכלל	Prisha, Even HaEzer 91:16:1 (Tur Even HaEzer, Vilna, 1923 [he])
כן / כנה	1	ויקינתונים (CC0)	L65801
הדרן	1	ויקינתונים (CC0)	L77190
בעטיו	2	ספריא · נחלת הכלל	Rashi on Shabbat 55b:3:1 (Vilna Edition [he])
פן	2	ויקינתונים (CC0)	L67475
לבל	2	ספריא · נחלת הכלל	Tov haLevanon, Tenth Treatise on Devotion to God 7:72 (Chovat Halevavot, Warsaw 1875 [he])
בטרם	2	ספריא · נחלת הכלל	Yahel Ohr on Zohar 3:249a:2 (Vilna 1882 [he])
בן לילה	2	ספריא · נחלת הכלל	Etz Yosef on Shemot Rabbah 9:7:25 (Midrash Rabbah with Etz Yosef, Warsaw, 1867 [he])
זה מכבר	2	⚠ דרוש מקור	Justice in the Jewish State according to the Torah 31:2 (Tel Aviv, 1936 [he])	⚠ ההוכחה הוסרה · ספריא נחלת-הכלל · מהדורה 1936 · אומת חי מול ספריא: אין בספריא אף מהדורה עברית בנחלת הכלל שאינה מ-1929 ואילך · הגרסאות שנמצאו: Tel Aviv, 1936 · הטענה הקודמת: ספריא · נחלת הכלל / Justice in the Jewish State according to the Torah 31:2 (Tel Aviv, 1936 [he])
לשעבר	2	ויקינתונים (CC0)	L492056
חדשות לבקרים	2	⚠ דרוש מקור	Sermons Unto My People, The Three Festivals 2:30 (Derashot El Ami, Jerusalem 1936 [he])	⚠ ההוכחה הוסרה · ספריא נחלת-הכלל · מהדורה 1936 · אומת חי מול ספריא: אין בספריא אף מהדורה עברית בנחלת הכלל שאינה מ-1929 ואילך · הגרסאות שנמצאו: Derashot El Ami, Jerusalem 1936 · הטענה הקודמת: ספריא · נחלת הכלל / Sermons Unto My People, The Three Festivals 2:30 (Derashot El Ami, Jerusalem 1936 [he])
קל וחמר	2	ויקינתונים (CC0)	L67882
מבעוד מועד	2	ויקיטקסט · נחלת הכלל	חוק קיום דיונים בהיוועדות חזותית בהשתתפות עצורים, אסירים וכלואים בתקופת התפשטות נגיף הקורונה החדש (הוראת שעה)
בעצומו של	2	ספריא · נחלת הכלל	Notes and Corrections on Midrash Aggadah, Genesis 7:8 (Midrash Aggadah, ed. Buber, Vienna, 1894. [he])
במשורה	2	ספריא · נחלת הכלל	Ibn Ezra on Leviticus 19:36:3 (On Your Way [he])
חמדן	2	ויקינתונים (CC0)	L210979
גנדרן	2	ויקינתונים (CC0)	L206306
קנטרן	2	ויקינתונים (CC0)	L218359
עלג	2	ויקינתונים (CC0)	L216080
נלעג	2	ויקינתונים (CC0)	L214676
זחוח	2	ויקינתונים (CC0)	L210395
כילי	2	ויקינתונים (CC0)	L78400
אמיד	2	ויקינתונים (CC0)	L205009
אביון	2	ויקינתונים (CC0)	L204333
כחוש	2	ויקינתונים (CC0)	L212031
צנום	2	ויקינתונים (CC0)	L217659
תמהוני	2	ויקינתונים (CC0)	L220183
נוטר	2	ויקינתונים (CC0)	L214250
תכסיסן	2	ויקינתונים (CC0)	L220231
סורר	2	ויקינתונים (CC0)	L215321
נרפה	2	ויקינתונים (CC0)	L215014
אנין	2	ויקינתונים (CC0)	L205099
אסטניס	2	ויקינתונים (CC0)	L205147
הדיוט	2	ויקינתונים (CC0)	L64794
בור	2	ויקינתונים (CC0)	L205622
אויל	2	ויקינתונים (CC0)	L63742
חמום	2	ויקינתונים (CC0)	L210986
שלומיאל	2	ויקינתונים (CC0)	L219671
התנכל	2	ויקינתונים (CC0)	L209842
התעמר	2	ויקינתונים (CC0)	L209936
התנצח	2	ויקינתונים (CC0)	L209865
התל	2	ויקינתונים (CC0)	L208084
הונה	2	ויקינתונים (CC0)	L207258
עשק	2	ויקינתונים (CC0)	L216362
נשל	2	ויקינתונים (CC0)	L215070
נחל	2	ויקינתונים (CC0)	L214380
חסה	2	ויקינתונים (CC0)	L211047
כמה	2	ויקינתונים (CC0)	L212140
ערג	2	ויקינתונים (CC0)	L216306
נהה	2	ויקינתונים (CC0)	L214197
תר	2	ויקינתונים (CC0)	L220419
חזר	2	ויקינתונים (CC0)	L210742
ארב	2	ויקינתונים (CC0)	L205352
התחקה	2	ויקינתונים (CC0)	L209538
הפטיר	2	ויקינתונים (CC0)	L208521
נם	2	ויקינתונים (CC0)	L214681
שנן	2	ויקינתונים (CC0)	L219562
נבט	2	ויקינתונים (CC0)	L1320631
נעץ	2	ויקינתונים (CC0)	L214818
לטש	2	ויקינתונים (CC0)	L212397
בהה	2	ויקינתונים (CC0)	L205505
גהר	2	ויקינתונים (CC0)	L206063
רכן	2	ויקינתונים (CC0)	L218960
קעקע	2	ויקינתונים (CC0)	L218389
נתץ	2	ויקינתונים (CC0)	L214624
רמס	2	ויקינתונים (CC0)	L218986
בזז	2	ויקינתונים (CC0)	L205664
שסה	2	ויקינתונים (CC0)	L219567
מגר	2	ויקינתונים (CC0)	L213113
נכלם	2	ויקינתונים (CC0)	L214645
התרעם	2	ויקינתונים (CC0)	L210227
רטן	2	ויקינתונים (CC0)	L218840
קבל	2	ויקינתונים (CC0)	L217771
נאנק	2	ויקינתונים (CC0)	L214061
גנח	2	ויקינתונים (CC0)	L206315
התיפח	2	ויקינתונים (CC0)	L209609
יבב	2	ויקינתונים (CC0)	L211723
גדף	2	ויקינתונים (CC0)	L206188
נאץ	2	ויקינתונים (CC0)	L214463
השכיל	2	ויקינתונים (CC0)	L209007
נוכח	2	ויקינתונים (CC0)	L214257
התחור	2	ויקינתונים (CC0)	L209481
סבר	2	ויקינתונים (CC0)	L215153
גרס	2	ויקינתונים (CC0)	L206384
הכריע	2	ויקינתונים (CC0)	L208142
פקד	2	ויקינתונים (CC0)	L217103
שרר	2	ויקינתונים (CC0)	L219894
רוח	2	ויקינתונים (CC0)	L68068
נקלע	2	ויקינתונים (CC0)	L214968
תשש	2	ספריא · נחלת הכלל	Yefeh Anaf on Eichah Rabbah 1:28:3 (Midrash Rabbah, Vilna, 1878 [he])
דעך	2	ויקינתונים (CC0)	L206710
גאה	2	ויקינתונים (CC0)	L205993
קמל	2	ויקינתונים (CC0)	L218328
אפף	2	ויקינתונים (CC0)	L205257
עטה	2	ויקינתונים (CC0)	L216028
חבש	2	ויקינתונים (CC0)	L210584
דדה	2	ויקינתונים (CC0)	L206580
זע	2	ויקינתונים (CC0)	L210493
חג	2	ויקינתונים (CC0)	L65112
הזדקר	2	ויקינתונים (CC0)	L207553
הבליח	2	ויקינתונים (CC0)	L206872
בקע	2	ויקינתונים (CC0)	L205923
פלח	2	ויקינתונים (CC0)	L67457
קדח	2	ויקינתונים (CC0)	L217792
נמלך	2	ויקינתונים (CC0)	L214702
עלץ	2	ויקינתונים (CC0)	L216170
מרט	2	ויקינתונים (CC0)	L213832
גדע	2	ויקינתונים (CC0)	L206057
דלה	2	ויקינתונים (CC0)	L491574
כפף	2	ויקינתונים (CC0)	L1459959
הפקיר	2	ויקינתונים (CC0)	L208565
הפשיט	2	ויקינתונים (CC0)	L208582
דובב	2	ויקינתונים (CC0)	L206467
תוחלת	2	ויקינתונים (CC0)	L82432
פרקן	2	ספריא · נחלת הכלל	Penei Moshe on Jerusalem Talmud Taanit 2:12:4:2 (1536 [he])
מפלט	2	ויקינתונים (CC0)	L66455
עלילה	2	ויקינתונים (CC0)	L80533
לעז	2	ויקינתונים (CC0)	L78701
פלמוס	2	ויקיטקסט · נחלת הכלל	כל כתבי שאול טשרניחובסקי/כרך ח':מחזות/בר-כוכבא/עלילה ראשונה
שאון	2	ויקינתונים (CC0)	L82084
רחש	2	ויקינתונים (CC0)	L218829
עלטה	2	ויקינתונים (CC0)	L80531
דמדומים	2	ויקינתונים (CC0)	L77062
זיו	2	ויקינתונים (CC0)	L65049
נגה	2	ויקינתונים (CC0)	L1320401
נהרה	2	ויקינתונים (CC0)	L214212
אשנב	2	ויקינתונים (CC0)	L64139
צהר	2	ויקינתונים (CC0)	L67620
מפתן	2	ויקינתונים (CC0)	L66467
אדן	2	ויקינתונים (CC0)	L63714
גחלת	2	ויקינתונים (CC0)	L64488
שבל	2	ויקינתונים (CC0)	L68216
אלמה	2	ויקינתונים (CC0)	L75472
צידה	2	ויקינתונים (CC0)	L81287
נוה	2	ויקינתונים (CC0)	L214240
מאורה	2	ויקינתונים (CC0)	L212540
אבך	2	ויקינתונים (CC0)	L490912
סגריר	2	ויקינתונים (CC0)	L79981
משב	2	ויקינתונים (CC0)	L79591
פלג	2	ויקינתונים (CC0)	L67448
אשד	2	ויקינתונים (CC0)	L76079
אפיק	2	ויקינתונים (CC0)	L64060
שחר	2	ויקינתונים (CC0)	L68304
בכורה	2	ויקינתונים (CC0)	L64283
תפנית	2	ויקינתונים (CC0)	L220361
